POSTAL_COD,ROAD_NAME,BUILDING_N,Dest,Service_Feedback
101052,TELOK BLANGAH DRIVE,BLANGAH VIEW,GBTB,Very Good
101070,TELOK BLANGAH HEIGHTS,TELOK BLANGAH RIDGEVIEW,Sentosa,Good
101090,TELOK BLANGAH STREET 31,TELOK BLANGAH PARCVIEW,Sentosa,So So
101091,TELOK BLANGAH STREET 31,TELOK BLANGAH PARCVIEW,Marina Barrage,Not Good
101108,DEPOT ROAD,DEPOT HEIGHTS SHOPPING CENTRE,Night Safari,Very Good
102070,TELOK BLANGAH HEIGHTS,TELOK BLANGAH RIDGEVIEW,Sentosa,Good
102093,TELOK BLANGAH STREET 31,TELOK BLANGAH PARCVIEW,Suntec City,So So
102102,DEPOT ROAD,,GBTB,Not Good
102106,DEPOT ROAD,DEPOT HEIGHTS,Sentosa,Very Good
102112,DEPOT ROAD,DEPOT HEIGHTS,GBTB,Good
103070,TELOK BLANGAH HEIGHTS,TELOK BLANGAH RIDGEVIEW,Sentosa,So So
108925,HENDERSON ROAD,ST. ANDREW'S NURSING HOME (HENDERSON),Novena Square,Not Good
108926,LOCK ROAD,GILLMAN BARRACKS,Sentosa,Very Good
109025,TELOK BLANGAH ROAD,SKYLINE RESIDENCES,Novena Square,Good
109026,TELOK BLANGAH ROAD,SKYLINE RESIDENCES,Sentosa,So So
109027,TELOK BLANGAH ROAD,SPC TELOK BLANGAH,Sentosa,Not Good
109028,TELOK BLANGAH ROAD,TELOK BLANGAH MRT STATION,Night Safari,Very Good
109030,TELOK BLANGAH ROAD,SKYLINE RESIDENCES,Sentosa,Good
109760,DEPOT LANE,DEPOT LANE INDUSTRIAL ESTATE (BLOCK 4006),Singapore Polytechnic,Very Good
109761,DEPOT LANE,DEPOT LANE INDUSTRIAL ESTATE (BLOCK 4007),Marina Barrage,Good
109762,DEPOT LANE,DEPOT LANE INDUSTRIAL ESTATE (BLOCK 4007),GBTB,So So
109765,DEPOT LANE,,Novena Square,Not Good
111013,WHOLESALE CENTRE,,Suntec City,Very Good
112016,WHOLESALE CENTRE,PASIR PANJANG WHOLESALE CENTRE,Sentosa,Good
117368,PASIR PANJANG ROAD,LIIV RESIDENCES,Sentosa,So So
117382,PASIR PANJANG ROAD,WHITEHAVEN,GBTB,Not Good
117448,PASIR PANJANG ROAD,LYNNSVILLE 331,Changi Airport,Very Good
117452,PASIR PANJANG ROAD,WEST-N,GBTB,Good
117471,PASIR PANJANG ROAD,LYNNSVILLE 331,Marina Barrage,So So
117472,PASIR PANJANG ROAD,LYNNSVILLE 331,GBTB,Not Good
117473,PASIR PANJANG ROAD,LYNNSVILLE 331,Suntec City,Very Good
117480,PASIR PANJANG ROAD,LYNNSVILLE 331,Changi Airport,Good
117481,PASIR PANJANG ROAD,LYNNSVILLE 331,Marina Barrage,So So
117482,PASIR PANJANG ROAD,THE ESTIVA,GBTB,Not Good
117493,PASIR PANJANG ROAD,THE MAYLEA,Suntec City,Very Good
117503,PASIR PANJANG ROAD,THE SPECTRUM,Suntec City,Good
117504,PASIR PANJANG ROAD,THE SPECTRUM,MBS,Very Good
117509,PASIR PANJANG ROAD,,Marina Barrage,Good
117522,PASIR PANJANG ROAD,WHITEVILLAS ROW,GBTB,So So
117523,PASIR PANJANG ROAD,WHITEVILLAS ROW,Suntec City,Not Good
117618,PASIR PANJANG ROAD,,Marina Barrage,Very Good
117621,PASIR PANJANG ROAD,PALM GREEN,Marina Barrage,Good
117623,PASIR PANJANG ROAD,,Suntec City,So So
117624,PASIR PANJANG ROAD,,MBS,Not Good
117625,PASIR PANJANG ROAD,,Novena Square,Very Good
117626,PASIR PANJANG ROAD,,Marina Barrage,Good
117627,PASIR PANJANG ROAD,,Marina Barrage,So So
117632,PASIR PANJANG ROAD,,GBTB,Not Good
117666,PASIR PANJANG ROAD,WEST PARK REGENCY,Marina Barrage,Very Good
117676,PASIR PANJANG ROAD,,Marina Barrage,Good
117679,PASIR PANJANG ROAD,GRYPHON TERRACE,Marina Barrage,So So
117680,PASIR PANJANG ROAD,GRYPHON TERRACE,Marina Barrage,Not Good
117681,PASIR PANJANG ROAD,GRYPHON TERRACE,Marina Barrage,Very Good
117693,ZEHNDER ROAD,,Suntec City,Good
117694,ZEHNDER ROAD,,MBS,Very Good
117698,ZEHNDER ROAD,,Marina Barrage,Good
117699,ZEHNDER ROAD,,Marina Barrage,So So
117703,PASIR PANJANG ROAD,BAROSSA GARDENS,Suntec City,Not Good
117704,PASIR PANJANG ROAD,BAROSSA GARDENS,MBS,Very Good
118151,SOUTH BUONA VISTA ROAD,,Marina Barrage,Good
118153,SOUTH BUONA VISTA ROAD,,Suntec City,So So
118234,SCIENCE PARK DRIVE,THE FARADAY,MBS,Not Good
118236,SCIENCE PARK DRIVE,THE FARADAY,Night Safari,Very Good
118240,SCIENCE PARK DRIVE,THE FLEMING,Night Safari,Good
118241,SCIENCE PARK DRIVE,THE FLEMING,Marina Barrage,So So
