SUBZONE_N,PLN_AREA_N,REGION_N,Age_0to6,Age_20to29,Age_over85,HDB_AV_E,HDB_AV_2rm,HDB_AV_1rm,House_AV,Condo_AV,EC_AV,Apart_AV,e12k_Over,DP,FDW,WP,stud_lprim,stud_jcoll,VariableX,Y
PEOPLE'S PARK,OUTRAM,CENTRAL REGION,0,60,28,0,0,0,0,0,0,27014,0,42,16,623,0,0,532,679
BUKIT MERAH,BUKIT MERAH,CENTRAL REGION,89,147,20,0,0,0,0,0,0,0,57,53,72,101,47,0,776,1837
CHINATOWN,OUTRAM,CENTRAL REGION,1002,1043,291,0,0,0,0,26400,0,585179,0,336,573,518,392,44,653,1721
PHILLIP,DOWNTOWN CORE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,807,0
RAFFLES PLACE,DOWNTOWN CORE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,995,0,0,0,0,857,0
CHINA SQUARE,OUTRAM,CENTRAL REGION,63,151,45,0,0,0,0,0,0,26416,0,120,48,96,12,0,819,508
TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,1040,1260,312,0,0,0,30017,43513,0,123430,714,114,789,751,367,35,402,3430
BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,0
TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION,1178,1878,363,0,5416,5416,0,86816,0,49510,1107,631,943,265,523,42,625,4122
CLIFFORD PIER,DOWNTOWN CORE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,755,0
MARINA SOUTH,MARINA SOUTH,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0
PEARL'S HILL,OUTRAM,CENTRAL REGION,383,752,326,0,0,0,0,0,0,92409,83,116,220,939,132,0,873,2106
BOAT QUAY,SINGAPORE RIVER,CENTRAL REGION,0,0,0,0,0,0,0,0,0,86181,0,67,34,61,0,0,879,0
HENDERSON HILL,BUKIT MERAH,CENTRAL REGION,696,1428,300,0,5408,5408,0,0,0,24008,255,30,374,409,300,31,568,3387
REDHILL,BUKIT MERAH,CENTRAL REGION,1023,1349,307,0,0,0,0,115200,0,30005,817,626,697,184,449,53,586,2951
ALEXANDRA HILL,BUKIT MERAH,CENTRAL REGION,749,1927,399,0,0,0,0,0,0,0,335,90,521,765,330,15,805,3313
BUKIT HO SWEE,BUKIT MERAH,CENTRAL REGION,901,1665,430,0,5406,5406,0,0,0,754656,396,120,677,754,354,27,754,3893
CLARKE QUAY,SINGAPORE RIVER,CENTRAL REGION,25,17,15,0,0,0,0,0,0,10880605,0,198,20,24,0,0,690,0
PASIR PANJANG 1,QUEENSTOWN,CENTRAL REGION,328,622,46,0,0,0,552504,161841,0,248831,903,620,608,235,151,56,651,1303
QUEENSWAY,QUEENSTOWN,CENTRAL REGION,0,62,0,0,0,0,0,0,0,24019,0,26,15,37,0,0,578,913
KENT RIDGE,QUEENSTOWN,CENTRAL REGION,28,134,0,0,0,0,0,0,0,70574,95,358,150,45,14,0,705,558
ALEXANDRA NORTH,BUKIT MERAH,CENTRAL REGION,151,129,0,0,0,0,0,100679,0,29705,215,316,215,35,53,12,893,1764
MARINA EAST,MARINA EAST,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,215
INSTITUTION HILL,RIVER VALLEY,CENTRAL REGION,361,337,27,0,0,0,64807,134475,0,3409988,799,1325,884,680,112,36,915,362
ROBERTSON QUAY,SINGAPORE RIVER,CENTRAL REGION,324,209,11,0,0,0,0,298564,0,2235700,719,2196,809,123,99,0,527,888
JURONG ISLAND AND BUKOM,WESTERN ISLANDS,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,16
SEMAKAU,WESTERN ISLANDS,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,201
SENTOSA,SOUTHERN ISLANDS,CENTRAL REGION,179,187,0,0,0,0,376801,224510,0,0,0,1565,993,0,26,0,685,0
CITY TERMINALS,BUKIT MERAH,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,0,0,922,215
ANSON,DOWNTOWN CORE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,19468,0,330,0,119,0,0,856,163
STRAITS VIEW,STRAITS VIEW,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0
MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION,308,237,26,0,0,0,75216,290990,0,54072,0,2143,723,304,90,11,692,1138
TELOK BLANGAH RISE,BUKIT MERAH,CENTRAL REGION,584,1579,251,23175,0,0,72235,0,0,115513,0,205,597,777,233,32,707,3172
TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION,58,66,28,0,0,0,0,34210,0,252417,0,945,60,48,17,0,755,0
EVERTON PARK,BUKIT MERAH,CENTRAL REGION,495,958,204,0,0,0,0,43813,0,213830,0,340,536,880,195,25,593,2023
TELOK BLANGAH WAY,BUKIT MERAH,CENTRAL REGION,596,989,248,0,5417,5417,0,0,0,0,0,77,359,561,253,28,426,2877
MAXWELL,DOWNTOWN CORE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,366
CECIL,DOWNTOWN CORE,CENTRAL REGION,46,39,0,0,0,0,0,0,0,180610,0,495,48,0,0,0,794,0
KAMPONG TIONG BAHRU,BUKIT MERAH,CENTRAL REGION,460,1168,180,57916,0,0,0,0,0,0,139,54,281,470,185,0,727,2883
TELOK BLANGAH DRIVE,BUKIT MERAH,CENTRAL REGION,1120,1876,354,81063,4243,4243,0,30808,0,34808,685,435,886,510,357,30,647,3215
PASIR PANJANG 2,QUEENSTOWN,CENTRAL REGION,257,531,39,0,0,0,295954,72016,0,212730,664,1064,607,238,62,26,554,951
CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION,65,96,0,0,0,0,0,120019,0,94805,0,2019,167,0,0,0,811,0
SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,995,1054
DEPOT ROAD,BUKIT MERAH,CENTRAL REGION,585,641,90,0,1808,1808,0,103711,0,0,705,639,725,120,204,39,457,1834
EAST COAST,MARINE PARADE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,1721
NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,CENTRAL REGION,0,98,0,0,0,0,0,0,0,0,24,348,24,25,0,0,958,584
ONE TREE HILL,RIVER VALLEY,CENTRAL REGION,161,210,40,0,0,0,338429,499041,0,245770,391,844,763,141,34,0,664,222
SOMERSET,ORCHARD,CENTRAL REGION,0,0,0,0,0,0,0,29404,0,2833903,0,142,32,34,0,0,836,0
BENCOOLEN,ROCHOR,CENTRAL REGION,98,174,61,0,0,0,0,0,0,25370,77,96,75,268,30,0,801,0
CHATSWORTH,TANGLIN,CENTRAL REGION,551,605,59,0,0,0,1294342,691450,0,14036979,1529,2393,1983,478,165,23,805,1442
PIONEER SECTOR,PIONEER,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,885,0
PENJURU CRESCENT,JURONG EAST,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,807
ORANGE GROVE,NEWTON,CENTRAL REGION,133,156,26,0,0,0,556414,431587,0,210340,339,989,707,0,24,0,680,373
KAMPONG BUGIS,KALLANG,CENTRAL REGION,11,169,11,0,0,0,0,0,0,86581,16,64,35,186,10,0,788,2029
KAMPONG GLAM,ROCHOR,CENTRAL REGION,0,0,0,0,0,0,0,0,0,82286,0,34,0,62,0,0,685,0
SELEGIE,ROCHOR,CENTRAL REGION,0,45,18,0,0,0,0,0,0,616667,36,70,33,318,18,0,977,0
MOUNT EMILY,ROCHOR,CENTRAL REGION,121,110,32,0,0,0,256802,72012,0,48590,322,553,220,376,42,0,690,0
ROCHOR CANAL,ROCHOR,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,144
CRAWFORD,KALLANG,CENTRAL REGION,396,971,334,0,0,0,0,41615,0,166816,143,238,198,846,139,0,667,2010
MARGARET DRIVE,QUEENSTOWN,CENTRAL REGION,1836,1341,174,23162,27007,27007,0,33013,0,0,780,84,843,144,505,40,678,3053
TANGLIN,ORCHARD,CENTRAL REGION,51,59,15,0,0,0,0,71560,0,97055,101,313,211,0,18,0,900,278
MARINE PARADE,MARINE PARADE,CENTRAL REGION,1951,2856,723,0,0,0,0,492029,0,376252,2200,2112,2577,593,849,96,715,6808
TANGLIN HALT,QUEENSTOWN,CENTRAL REGION,731,1219,370,0,10815,10815,0,0,0,0,198,262,362,430,287,24,753,3638
MACKENZIE,ROCHOR,CENTRAL REGION,26,0,0,0,0,0,0,0,0,23197,0,40,28,65,7,0,570,137
SUNGEI ROAD,ROCHOR,CENTRAL REGION,164,275,52,0,0,0,0,0,0,41210,19,37,48,256,47,0,598,572
ONE NORTH,QUEENSTOWN,CENTRAL REGION,56,52,0,0,0,0,246164,98102,0,21019,131,1277,128,34,35,0,583,1181
TANJONG RHU,KALLANG,CENTRAL REGION,797,1056,141,22568,0,0,60013,729358,0,228190,1816,2117,2195,197,223,189,513,3044
MOUNTBATTEN,MARINE PARADE,CENTRAL REGION,818,1305,207,0,0,0,1521654,279511,0,512100,2167,1642,2796,396,270,63,848,4239
COMMONWEALTH,QUEENSTOWN,CENTRAL REGION,392,855,248,0,0,0,0,0,0,0,96,79,272,378,141,0,750,3211
DOVER,QUEENSTOWN,CENTRAL REGION,690,1380,214,23163,0,0,0,162304,0,30013,927,693,845,125,384,163,787,2597
BOULEVARD,ORCHARD,CENTRAL REGION,0,64,0,0,0,0,0,144016,0,10324467,41,407,120,156,0,0,620,0
ISTANA NEGARA,NEWTON,CENTRAL REGION,0,0,0,0,0,0,0,0,0,28210,0,0,0,0,0,0,889,0
LITTLE INDIA,ROCHOR,CENTRAL REGION,177,436,85,34746,0,0,0,0,0,128275,48,170,139,1137,76,0,650,668
GUL BASIN,PIONEER,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,618,172
RIDOUT,TANGLIN,CENTRAL REGION,131,165,53,0,0,0,1037869,42600,0,127132,306,526,642,0,40,12,558,848
CAIRNHILL,NEWTON,CENTRAL REGION,291,433,76,0,0,0,50414,385923,0,3914822,738,2039,1176,218,93,23,808,0
CLEMENTI WEST,CLEMENTI,WEST REGION,960,1874,173,174846,0,0,73614,147809,0,3647004,682,1043,696,926,439,64,741,3806
TUAS VIEW EXTENSION,TUAS,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,8263,0,0,782,85
MONK'S HILL,NEWTON,CENTRAL REGION,74,135,35,0,0,0,106205,34212,0,96618,173,198,179,610,53,0,703,238
SIGLAP,BEDOK,EAST REGION,263,815,153,0,0,0,0,0,0,403709,653,612,946,113,162,127,810,5155
CLEMENTI WOODS,CLEMENTI,WEST REGION,1275,1873,228,22562,0,0,131840,176111,0,22212,989,1032,1030,207,468,113,513,4772
FORT CANNING,MUSEUM,CENTRAL REGION,42,11,0,0,0,0,0,48613,0,29787,0,131,58,49,0,0,527,0
MARINA EAST (MP),MARINE PARADE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,1295
MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION,0,0,0,0,0,0,0,0,0,0,0,688,0,0,0,0,785,0
BRAS BASAH,MUSEUM,CENTRAL REGION,0,0,0,0,0,0,88208,0,0,0,0,33,0,0,0,0,721,0
OXLEY,RIVER VALLEY,CENTRAL REGION,120,169,53,0,0,0,258977,123709,0,229517,268,465,331,152,32,0,682,206
CITY HALL,DOWNTOWN CORE,CENTRAL REGION,0,0,0,0,0,0,0,303001,0,114001,0,851,0,0,0,0,599,0
MEI CHIN,QUEENSTOWN,CENTRAL REGION,720,2152,422,34756,0,0,60841,286808,0,0,970,1243,1151,446,361,81,818,3901
