,BUILDING_N,longitude,latitude,HOUSE_BLK_NO,ROAD_NAME,POSTAL_CODE,address
0,ACS OLDHAM HALL - THE BOARDING SCHOOL,103.834958,1.319923,80,BARKER ROAD,309937.0,
1,AI TONG SCHOOL,103.83302,1.360583,100,BRIGHT HILL DRIVE,579646.0,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646
2,ALEXANDRA PRIMARY SCHOOL,103.824425,1.291334,2A,PRINCE CHARLES CRESCENT,159016.0,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016
3,ANGLO-CHINESE SCHOOL (BARKER ROAD),103.835941,1.319662,60,BARKER ROAD,309919.0,60 BARKER ROAD ANGLO-CHINESE SCHOOL (BARKER ROAD) SINGAPORE 309919
4,ANGLO-CHINESE SCHOOL (INDEPENDENT) BOARDING SCHOOL,103.78131,1.301061,119,DOVER ROAD,139656.0,
5,ANGLO-CHINESE SCHOOL (INTERNATIONAL),103.798539,1.307751,61,JALAN HITAM MANIS,278475.0,61 JALAN HITAM MANIS ANGLO-CHINESE SCHOOL (INTERNATIONAL) SINGAPORE 278475
6,ANGLO-CHINESE SCHOOL (JUNIOR),103.840955,1.309351,16,WINSTEDT ROAD,227988.0,16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988
7,ANGLO-CHINESE SCHOOL (PRIMARY),103.83561,1.318371,50,BARKER ROAD,309918.0,50 BARKER ROAD ANGLO-CHINESE SCHOOL (PRIMARY) SINGAPORE 309918
8,ANGLO-CHINESE SCHOOL (SPORTS CENTRE),103.834385,1.318658,90,BARKER ROAD,309938.0,90 BARKER ROAD ANGLO-CHINESE SCHOOL (SPORTS CENTRE) SINGAPORE 309938
9,APSN (TANGLIN SCHOOL),103.81994,1.290433,143,ALEXANDRA ROAD,159924.0,143 ALEXANDRA ROAD APSN (TANGLIN SCHOOL) SINGAPORE 159924
10,BALESTIER HILL PRIMARY SCHOOL,103.844431,1.325602,565,BALESTIER ROAD,329927.0,
11,BARTLEY SECONDARY SCHOOL,103.882806,1.339954,10,JALAN BUNGA RAMPAI,538403.0,10 JALAN BUNGA RAMPAI BARTLEY SECONDARY SCHOOL SINGAPORE 538403
12,BEATTY SECONDARY SCHOOL,103.852286,1.341771,1,TOA PAYOH NORTH,318990.0,1 TOA PAYOH NORTH BEATTY SECONDARY SCHOOL SINGAPORE 318990
13,BENDEMEER PRIMARY SCHOOL,103.865404,1.321813,91,BENDEMEER ROAD,339948.0,91 BENDEMEER ROAD BENDEMEER PRIMARY SCHOOL SINGAPORE 339948
14,BENDEMEER SECONDARY SCHOOL,103.86097,1.324611,1,SAINT WILFRED ROAD,327919.0,1 SAINT WILFRED ROAD BENDEMEER SECONDARY SCHOOL SINGAPORE 327919
15,BISHAN PARK SECONDARY SCHOOL,103.832968,1.36491,2,SIN MING WALK,575565.0,
16,BLANGAH RISE PRIMARY SCHOOL,103.808629,1.27612,91,TELOK BLANGAH HEIGHTS,109100.0,91 TELOK BLANGAH HEIGHTS BLANGAH RISE PRIMARY SCHOOL SINGAPORE 109100
17,BLK D (PHOENIX PARK OFFICE CAMPUS),103.815655,1.297918,,,,318 TANGLIN ROAD BLK D (PHOENIX PARK OFFICE CAMPUS) SINGAPORE 247979
18,BLUE HOUSE INTERNATIONAL SCHOOL,103.796822,1.336203,2,TURF CLUB ROAD,287988.0,2 TURF CLUB ROAD BLUE HOUSE INTERNATIONAL SCHOOL SINGAPORE 287988
19,BROADRICK SECONDARY SCHOOL,103.886917,1.307051,61,DAKOTA CRESCENT,399935.0,61 DAKOTA CRESCENT BROADRICK SECONDARY SCHOOL SINGAPORE 399935
20,BUKIT MERAH SECONDARY SCHOOL,103.813023,1.285784,10,LENGKOK BAHRU,159050.0,10 LENGKOK BAHRU BUKIT MERAH SECONDARY SCHOOL SINGAPORE 159050
21,BUKIT TIMAH PRIMARY SCHOOL,103.767243,1.337519,111,LORONG KISMIS,598112.0,111 LORONG KISMIS BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112
22,CANADIAN INTERNATIONAL SCHOOL (TANJONG KATONG CAMPUS),103.897517,1.303489,371,TANJONG KATONG ROAD,437128.0,371 TANJONG KATONG ROAD CANADIAN INTERNATIONAL SCHOOL (TANJONG KATONG CAMPUS) SINGAPORE 437128
23,CANOSSA CONVENT PRIMRY SCHOOL,103.882228,1.326644,1,SALLIM ROAD,387621.0,
24,CANOSSA CONVENT PRIMRY SCHOOL,103.882228,1.326644,1,SALLIM ROAD,387621.0,
25,CANOSSA CONVENT PRIMRY SCHOOL,103.882228,1.326644,1,SALLIM ROAD,387621.0,
26,CANOSSA CONVENT PRIMRY SCHOOL,103.882228,1.326644,1,SALLIM ROAD,387621.0,
27,CATHOLIC HIGH SCHOOL,103.845522,1.355185,9,BISHAN STREET 22,579767.0,9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767
28,CEDAR GIRLS' SECONDARY SCHOOL,103.873933,1.333758,1,CEDAR AVENUE,349692.0,1 CEDAR AVENUE CEDAR GIRLS' SECONDARY SCHOOL SINGAPORE 349692
29,CEDAR PRIMARY SCHOOL,103.875621,1.335588,15,CEDAR AVENUE,349700.0,15 CEDAR AVENUE CEDAR PRIMARY SCHOOL SINGAPORE 349700
30,CHATSWORTH INTERNATIONAL SCHOOL (EAST CAMPUS),103.89864,1.303423,25,JALAN TEMBUSU,438234.0,
31,CHATSWORTH INTERNATIONAL SCHOOL (ORCHARD CAMPUS),103.83864,1.302233,37A,EMERALD HILL ROAD,229432.0,37A EMERALD HILL ROAD CHATSWORTH INTERNATIONAL SCHOOL (ORCHARD CAMPUS) SINGAPORE 229432
32,CHINESE INTERNATIONAL SCHOOL,103.829979,1.320344,60,DUNEARN ROAD,309434.0,61 JALAN HITAM MANIS ANGLO-CHINESE SCHOOL (INTERNATIONAL) SINGAPORE 278475
33,CHRIST CHURCH,103.847663,1.312235,,,,1 DORSET ROAD CHRIST CHURCH SINGAPORE 219486
34,CHUNG CHENG HIGH SCHOOL (MAIN),103.891653,1.305092,50,GOODMAN ROAD,439012.0,50 GOODMAN ROAD CHUNG CHENG HIGH SCHOOL (MAIN) SINGAPORE 439012
35,CRESCENT GIRLS' SCHOOL,103.817544,1.293319,357,TANGLIN ROAD,247961.0,357 TANGLIN ROAD CRESCENT GIRLS' SCHOOL SINGAPORE 247961
36,DOVER COURT PREPARATORY SCHOOL,103.779124,1.306266,301,DOVER ROAD,139644.0,301 DOVER ROAD DOVER COURT PREPARATORY SCHOOL SINGAPORE 139644
37,DUKE-NUS GRADUATE MEDICAL SCHOOL SINGAPORE,103.834145,1.281218,8,COLLEGE ROAD,169857.0,8 COLLEGE ROAD DUKE-NUS GRADUATE MEDICAL SCHOOL SINGAPORE SINGAPORE 169857
38,DUNMAN HIGH SCHOOL,103.882942,1.299962,10,TANJONG RHU ROAD,436895.0,10 TANJONG RHU ROAD DUNMAN HIGH SCHOOL SINGAPORE 436895
39,DUNMAN HIGH SCHOOL HOSTEL,103.882466,1.299686,61,KAMPONG ARANG ROAD,438181.0,61 KAMPONG ARANG ROAD DUNMAN HIGH SCHOOL HOSTEL SINGAPORE 438181
40,EIS INTERNATIONAL PRE-SCHOOL (BRANCH 1),103.899509,1.307127,7,SERAYA LANE,437275.0,7 SERAYA LANE EIS INTERNATIONAL PRE-SCHOOL (BRANCH 1) SINGAPORE 437275
41,ESSEC BUSINESS SCHOOL,103.787701,1.302886,5,NEPAL PARK,139408.0,5 NEPAL PARK ESSEC BUSINESS SCHOOL SINGAPORE 139408
42,ETONHOUSE BROADRICK INTERNATIONAL SCHOOL & PRE-SCHOOL,103.889747,1.305814,51,BROADRICK ROAD,439501.0,51 BROADRICK ROAD ETONHOUSE BROADRICK INTERNATIONAL SCHOOL & PRE-SCHOOL SINGAPORE 439501
43,ETONHOUSE INTERNATIONAL PRE-SCHOOL (CLAYMORE),103.829991,1.30834,15,CLAYMORE ROAD,229542.0,15 CLAYMORE ROAD ETONHOUSE INTERNATIONAL PRE-SCHOOL (CLAYMORE) SINGAPORE 229542
